Date,UnixTimeStamp,Value
8/29/2020,1598659200,122
8/30/2020,1598745600,38
8/31/2020,1598832000,476
9/1/2020,1598918400,452
9/2/2020,1599004800,394
9/3/2020,1599091200,8816
9/4/2020,1599177600,7974
9/5/2020,1599264000,3255
9/6/2020,1599350400,6879
9/7/2020,1599436800,9327
9/8/2020,1599523200,22611
9/9/2020,1599609600,19555
9/10/2020,1599696000,14255
9/11/2020,1599782400,30756
9/12/2020,1599868800,102051
9/13/2020,1599955200,139279
9/14/2020,1600041600,402573
9/15/2020,1600128000,147525
9/16/2020,1600214400,76860
9/17/2020,1600300800,126437
9/18/2020,1600387200,134029
9/19/2020,1600473600,49300
9/20/2020,1600560000,47019
9/21/2020,1600646400,90905
9/22/2020,1600732800,116682
9/23/2020,1600819200,89882
9/24/2020,1600905600,124661
9/25/2020,1600992000,108175
9/26/2020,1601078400,91617
9/27/2020,1601164800,100623
9/28/2020,1601251200,164445
9/29/2020,1601337600,189983
9/30/2020,1601424000,190862
10/1/2020,1601510400,160861
10/2/2020,1601596800,128762
10/3/2020,1601683200,159236
10/4/2020,1601769600,133724
10/5/2020,1601856000,144965
10/6/2020,1601942400,169115
10/7/2020,1602028800,198754
10/8/2020,1602115200,213900
10/9/2020,1602201600,216497
10/10/2020,1602288000,203125
10/11/2020,1602374400,181386
10/12/2020,1602460800,186273
10/13/2020,1602547200,181056
10/14/2020,1602633600,165489
10/15/2020,1602720000,256724
10/16/2020,1602806400,195040
10/17/2020,1602892800,232591
10/18/2020,1602979200,206921
10/19/2020,1603065600,252173
10/20/2020,1603152000,262272
10/21/2020,1603238400,206741
10/22/2020,1603324800,175414
10/23/2020,1603411200,206816
10/24/2020,1603497600,166764
10/25/2020,1603584000,203864
10/26/2020,1603670400,206904
10/27/2020,1603756800,183768
10/28/2020,1603843200,176114
10/29/2020,1603929600,168820
10/30/2020,1604016000,152483
10/31/2020,1604102400,144797
11/1/2020,1604188800,133651
11/2/2020,1604275200,139221
11/3/2020,1604361600,175229
