"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20, 2020","28.95","28.13","29.10","28.13","2.49M","3.12%"
"Nov 19, 2020","28.08","28.11","28.24","27.80","2.02M","0.05%"
"Nov 18, 2020","28.06","28.52","28.55","27.70","2.22M","-1.73%"
"Nov 17, 2020","28.56","27.95","28.67","27.95","2.24M","2.11%"
"Nov 16, 2020","27.97","27.62","28.14","27.61","1.69M","1.09%"
"Nov 15, 2020","27.66","27.95","28.04","27.21","1.44M","-0.91%"
"Nov 14, 2020","27.92","28.13","28.14","27.53","1.50M","-1.00%"
"Nov 13, 2020","28.20","27.65","28.38","27.58","1.94M","1.79%"
"Nov 12, 2020","27.70","28.01","28.01","27.46","1.66M","-1.02%"
"Nov 11, 2020","27.99","28.21","28.28","27.99","1.97M","-0.78%"
"Nov 10, 2020","28.21","27.94","28.22","27.74","2.17M","0.43%"
