Date,Price
7/6/2021,2217.3
7/7/2021,2320.65
7/8/2021,2317.24
7/9/2021,2126.44
7/10/2021,2156.58
7/11/2021,2123.06
7/12/2021,2144.01
7/13/2021,2042.5
7/14/2021,1944.4
7/15/2021,1997.66
7/16/2021,1910.73
7/17/2021,1874.2
7/18/2021,1899.84
7/19/2021,1905.72
7/20/2021,1824.93
7/21/2021,1794.97
7/22/2021,2003.72
7/23/2021,2027.53
7/24/2021,2117.15
7/25/2021,2183.63
7/26/2021,2209.5
7/27/2021,2230.21
7/28/2021,2292.58
7/29/2021,2299.69
7/30/2021,2383.44
7/31/2021,2462.4
8/1/2021,2541.67
8/2/2021,2555.41
8/3/2021,2611.67
8/4/2021,2521.27
8/5/2021,2724.53
8/6/2021,2821.65
8/7/2021,2888.73
8/8/2021,3151.22
8/9/2021,3012.31
8/10/2021,3163.06
8/11/2021,3147.84
8/12/2021,3166.65
8/13/2021,3048.41
8/14/2021,3323.2
8/15/2021,3268.55
8/16/2021,3309.75
8/17/2021,3153.58
8/18/2021,3007.14
8/19/2021,3037.23
8/20/2021,3144.82
8/21/2021,3276.97
8/22/2021,3224
8/23/2021,3243.49
8/24/2021,3320.41
8/25/2021,3177.66
8/26/2021,3231.44
8/27/2021,3122.97
8/28/2021,3267.54
8/29/2021,3245.43
8/30/2021,3233.38
8/31/2021,3232.73
9/1/2021,3440.56
9/2/2021,3790.61
9/3/2021,3793.3
9/4/2021,3936.16
9/5/2021,3894.94
9/6/2021,3950.27
9/7/2021,3943.26
9/8/2021,3440.34
9/9/2021,3496.86
9/10/2021,3435.98
9/11/2021,3209.92
9/12/2021,3268.1
9/13/2021,3417.84
9/14/2021,3301.19
9/15/2021,3425.25
9/16/2021,3595.96
9/17/2021,3573.31
9/18/2021,3412.18
9/19/2021,3427.58
9/20/2021,3335.88
9/21/2021,2977.32
9/22/2021,2744.11
9/23/2021,3074.12
9/24/2021,3159.27
9/25/2021,2930.74
9/26/2021,2946.97
9/27/2021,3063.32
9/28/2021,2939.74
9/29/2021,2798.98
9/30/2021,2855.61
10/1/2021,3013.49
10/2/2021,3305.11
10/3/2021,3393.92
10/4/2021,3426.39
10/5/2021,3390.31
10/6/2021,3520.34
10/7/2021,3592.18
10/8/2021,3594.92
10/9/2021,3558.55
10/10/2021,3588.08
10/11/2021,3431.02
10/12/2021,3537.84
10/13/2021,3498.11
10/14/2021,3605.65
10/15/2021,3794.52
10/16/2021,3885.64
10/17/2021,3854.5
10/18/2021,3854.22
10/19/2021,3752.62
10/20/2021,3884.59
10/21/2021,4170.11
10/22/2021,4074.86
10/23/2021,3990.71
10/24/2021,4179.44
10/25/2021,4094.94
10/26/2021,4230.21
10/27/2021,4152.57
10/28/2021,3944.09
10/29/2021,4288.1
10/30/2021,4422.94
10/31/2021,4324.61
11/1/2021,4292.04
11/2/2021,4330.55
11/3/2021,4596.59
11/4/2021,4607.7
11/5/2021,4550.01
11/6/2021,4494.8
11/7/2021,4527.1
11/8/2021,4626.63
11/9/2021,4815
